Year,Month/Period,Mean Temperature,Mean Precipitation,Ensemble Average Mean Changes in Annual Temperature SSP2-4.5,Ensemble Average Mean Changes in Annual Temperature SSP5-8.5,Ensemble Average Mean Changes in Annual Precipitation SSP2-4.5,Ensemble Average Mean Changes in Annual Precipitation SSP5-8.5,Central Projection,Lower Bound,Upper Bound,Extreme Scenario
2030s,Annual,+2°F (+2.7°F to +3.9°F) +4.7°F,+0% (+2% to +7%) +10%,+3.1°F,+3.5°F,5%,5%,4.0,4.7,5.9,6.7
2030s,January,+1.8°F (+2.6°F to +4.7°F) +6.2°F,-9% (+0% to +13%) +20%,,,,,3.8,4.5,5.7,6.5
2030s,February,+1.6°F (+2.3°F to +4.2°F) +5.6°F,-5% (+1% to +18%) +26%,,,,,3.6,4.300000000000001,5.5,6.300000000000001
2030s,March,+0.9°F (+2.3°F to +4.2°F) +5°F,-6% (+2% to +16%) +24%,,,,,2.9,3.6,4.8,5.6000000000000005
2030s,April,+1.1°F (+1.9°F to +3.8°F) +4.7°F,-10% (-2% to +12%) +24%,,,,,3.1,3.8000000000000003,5.0,5.800000000000001
2030s,May,+1.3°F (+2°F to +3.5°F) +4.3°F,-11% (-6% to +14%) +19%,,,,,3.3,4.0,5.2,6.0
2030s,June,+1.2°F (+2.5°F to +3.8°F) +4.8°F,-12% (-5% to +15%) +21%,,,,,3.2,3.9000000000000004,5.1,5.9
2030s,July,+2.2°F (+2.5°F to +4.3°F) +5.2°F,-11% (-4% to +15%) +23%,,,,,4.2,4.9,6.1,6.9
2030s,August,+2.2°F (+2.8°F to +4.4°F) +5.6°F,-10% (-4% to +12%) +25%,,,,,4.2,4.9,6.1,6.9
2030s,September,+2°F (+2.6°F to +4.4°F) +5.5°F,-18% (-6% to +15%) +29%,,,,,4.0,4.7,5.9,6.7
2030s,October,+1.5°F (+2.4°F to +4.6°F) +5.4°F,-21% (-11% to +8%) +20%,,,,,3.5,4.2,5.4,6.2
2030s,November,+1.5°F (+2.1°F to +3.9°F) +4.8°F,-14% (-7% to +11%) +16%,,,,,3.5,4.2,5.4,6.2
2030s,December,+1.7°F (+2.5°F to +4.2°F) +5.9°F,-9% (-3% to +16%) +20%,,,,,3.7,4.4,5.6,6.4
